freq ks ka
1 1.5161964780593596e-06 0.0010015870770741652
6 0.001956406731982984 0.007915264480849242
11 0.021871925013179215 0.024747758738242382
16 0.09634049357815999 0.051601595253892914
21 0.27992752738773163 0.08863348960189671
26 0.6412904868511071 0.13604734537455884
31 1.259234706673468 0.1940893226061222
36 2.219346761485606 0.2630456092875915
41 3.6115298668130866 0.3432416673234503
46 5.528575825897275 0.43505015682498
51 8.124205280366272 0.5609577436770036
56 11.415816640659248 0.6868731467761108
61 15.53978298242684 0.8284982584286135
66 20.60169233252283 0.9868245126577978
71 26.70980761688651 1.1629347853822358
76 33.97455912125764 1.3580233189429693
81 42.50715052707925 1.573426382331161
86 52.41650889427538 1.8106684362358632
91 63.803202900806866 2.071533806118534
96 77.17268230943279 2.383199922321232
101 91.89765496984135 2.7068989524908615
106 108.24264435779912 3.065051330811876
111 126.0488630520741 3.463608305015445
116 144.94894581868857 3.912030821381694
121 164.31567295356325 4.4263803724185795
126 183.39743515197353 5.034223740276208
131 202.0564479502047 5.779074350307136
136 222.66354837995618 6.7131449985502964
141 252.2403565645 7.858161138384121
146 300.4600637388009 9.179421957198974
151 369.70411268042324 10.525092189493186
156 454.94674882300444 11.826527999332699
161 546.5922707994488 13.03509162226659
166 634.4676999556522 14.137421863464553
171 710.3821297810933 15.166101683712252
176 770.1546158117483 16.204182871165354
181 814.3241286527623 17.376883920410798
186 847.3544625138583 18.83873128486154
191 876.6692830824081 20.78631262627692
196 908.9345132004534 23.377622007421223
